attack,mal_frac,rule,acc,acc_std,f1,asr,asr_std
backdoor,0.1,fedavg,0.9988,0.0,0.9988,0.1051,0.1486
backdoor,0.1,median,0.9987,0.0002,0.9987,0.0,0.0
backdoor,0.1,trimmed,0.9988,0.0,0.9988,0.0,0.0
backdoor,0.1,krum,0.9987,0.0002,0.9987,0.0,0.0
backdoor,0.1,fltrust,0.9986,0.0002,0.9986,0.0,0.0
backdoor,0.1,fedtra,0.9987,0.0002,0.9987,0.0,0.0
backdoor,0.2,fedavg,0.9988,0.0,0.9988,0.3157,0.0
backdoor,0.2,median,0.9988,0.0,0.9988,0.0,0.0
backdoor,0.2,trimmed,0.9988,0.0,0.9988,0.0,0.0
backdoor,0.2,krum,0.9988,0.0,0.9988,0.0,0.0
backdoor,0.2,fltrust,0.9986,0.0002,0.9986,0.0,0.0
backdoor,0.2,fedtra,0.9988,0.0,0.9988,0.0,0.0
backdoor,0.0,fedavg,0.9988,0.0,0.9988,0.0,0.0
backdoor,0.0,median,0.9986,0.0002,0.9986,0.0,0.0
backdoor,0.0,trimmed,0.9987,0.0002,0.9987,0.0,0.0
backdoor,0.0,krum,0.9987,0.0002,0.9987,0.0,0.0
backdoor,0.0,fltrust,0.9985,0.0,0.9985,0.0,0.0
backdoor,0.0,fedtra,0.9986,0.0002,0.9986,0.0,0.0
backdoor,0.3,fedavg,0.9988,0.0,0.9988,0.3157,0.0
backdoor,0.3,median,0.9988,0.0,0.9988,0.0,0.0
backdoor,0.3,trimmed,0.9988,0.0,0.9988,0.0,0.0
backdoor,0.3,krum,0.9988,0.0,0.9988,0.0,0.0
backdoor,0.3,fltrust,0.9985,0.0,0.9985,0.0,0.0
backdoor,0.3,fedtra,0.9987,0.0002,0.9987,0.0,0.0
backdoor,0.4,fedavg,0.9988,0.0,0.9988,0.3157,0.0
backdoor,0.4,median,0.9988,0.0,0.9988,0.0,0.0
backdoor,0.4,trimmed,0.9988,0.0,0.9988,0.2104,0.1488
backdoor,0.4,krum,0.9988,0.0,0.9988,0.1052,0.1488
backdoor,0.4,fltrust,0.9985,0.0,0.9985,0.0,0.0
backdoor,0.4,fedtra,0.9988,0.0,0.9988,0.0,0.0
signflip,0.0,fedavg,0.9988,0.0,0.9988,,
signflip,0.0,median,0.9986,0.0002,0.9986,,
signflip,0.0,trimmed,0.9987,0.0002,0.9987,,
signflip,0.0,krum,0.9987,0.0002,0.9987,,
signflip,0.0,fltrust,0.9985,0.0,0.9985,,
signflip,0.0,fedtra,0.9986,0.0002,0.9986,,
signflip,0.1,fedavg,0.5,0.0,0.3333,,
signflip,0.1,median,0.9985,0.0003,0.9985,,
signflip,0.1,trimmed,0.9987,0.0002,0.9987,,
signflip,0.1,krum,0.9987,0.0002,0.9987,,
signflip,0.1,fltrust,0.9986,0.0002,0.9986,,
signflip,0.1,fedtra,0.9985,0.0003,0.9985,,
signflip,0.2,fedavg,0.5,0.0,0.3333,,
signflip,0.2,median,0.9987,0.0002,0.9987,,
signflip,0.2,trimmed,0.9988,0.0,0.9988,,
signflip,0.2,krum,0.9987,0.0002,0.9987,,
signflip,0.2,fltrust,0.9986,0.0002,0.9986,,
signflip,0.2,fedtra,0.9987,0.0002,0.9987,,
signflip,0.3,fedavg,0.5,0.0,0.3333,,
signflip,0.3,median,0.9983,0.0001,0.9983,,
signflip,0.3,trimmed,0.5003,0.407,0.4447,,
signflip,0.3,krum,0.9207,0.11,0.9169,,
signflip,0.3,fltrust,0.9984,0.0001,0.9984,,
signflip,0.3,fedtra,0.9984,0.0002,0.9984,,
signflip,0.4,fedavg,0.5,0.0,0.3333,,
signflip,0.4,median,0.8326,0.2352,0.777,,
signflip,0.4,trimmed,0.5,0.0,0.3333,,
signflip,0.4,krum,0.5,0.0,0.3333,,
signflip,0.4,fltrust,0.9985,0.0,0.9985,,
signflip,0.4,fedtra,0.8326,0.2352,0.777,,
label_flip,0.0,fedavg,0.9988,0.0,0.9988,,
label_flip,0.0,median,0.9986,0.0002,0.9986,,
label_flip,0.0,trimmed,0.9987,0.0002,0.9987,,
label_flip,0.0,krum,0.9987,0.0002,0.9987,,
label_flip,0.0,fltrust,0.9985,0.0,0.9985,,
