attack,mal_frac,rule,acc,acc_std,f1,asr,asr_std
label_flip,0.0,fedavg,0.7495,0.0002,0.7491,,
label_flip,0.0,median,0.7542,0.0062,0.7539,,
label_flip,0.0,trimmed,0.7536,0.004,0.7533,,
label_flip,0.0,krum,0.7499,0.0035,0.7495,,
label_flip,0.0,fltrust,0.7681,0.0063,0.7674,,
label_flip,0.0,fedtra,0.7568,0.0059,0.7565,,
label_flip,0.1,fedavg,0.7432,0.0051,0.7426,,
label_flip,0.1,median,0.7549,0.0051,0.7544,,
label_flip,0.1,trimmed,0.7532,0.005,0.7529,,
label_flip,0.1,krum,0.7496,0.0027,0.7492,,
label_flip,0.1,fltrust,0.7673,0.0072,0.7665,,
label_flip,0.1,fedtra,0.7551,0.0042,0.7545,,
label_flip,0.2,fedavg,0.7341,0.0146,0.7325,,
label_flip,0.2,median,0.7483,0.0196,0.7472,,
label_flip,0.2,trimmed,0.7516,0.0055,0.751,,
label_flip,0.2,krum,0.7496,0.0005,0.7493,,
label_flip,0.2,fltrust,0.7678,0.0068,0.7671,,
label_flip,0.2,fedtra,0.7505,0.0191,0.7494,,
label_flip,0.3,fedavg,0.7474,0.0425,0.746,,
label_flip,0.3,median,0.7502,0.0212,0.7497,,
label_flip,0.3,trimmed,0.7499,0.0213,0.7493,,
label_flip,0.3,krum,0.7545,0.0151,0.7542,,
label_flip,0.3,fltrust,0.7709,0.0051,0.7702,,
label_flip,0.3,fedtra,0.7511,0.0204,0.7506,,
label_flip,0.4,fedavg,0.7295,0.0206,0.7276,,
label_flip,0.4,median,0.7338,0.0146,0.7323,,
label_flip,0.4,trimmed,0.731,0.0074,0.7297,,
label_flip,0.4,krum,0.7472,0.0167,0.7468,,
label_flip,0.4,fltrust,0.7691,0.0061,0.7684,,
label_flip,0.4,fedtra,0.7351,0.015,0.7336,,
signflip,0.1,fedavg,0.3694,0.1466,0.2659,,
signflip,0.1,median,0.7539,0.0021,0.7532,,
signflip,0.1,trimmed,0.7616,0.0102,0.7613,,
signflip,0.1,krum,0.7496,0.0027,0.7492,,
signflip,0.1,fltrust,0.7673,0.0072,0.7665,,
signflip,0.1,fedtra,0.7543,0.0032,0.7536,,
signflip,0.0,fedavg,0.7495,0.0002,0.7491,,
signflip,0.0,median,0.7542,0.0062,0.7539,,
signflip,0.0,trimmed,0.7536,0.004,0.7533,,
signflip,0.0,krum,0.7499,0.0035,0.7495,,
signflip,0.0,fltrust,0.7681,0.0063,0.7674,,
signflip,0.0,fedtra,0.7568,0.0059,0.7565,,
signflip,0.2,fedavg,0.525,0.0706,0.3428,,
signflip,0.2,median,0.7475,0.027,0.7458,,
signflip,0.2,trimmed,0.7571,0.0077,0.7564,,
signflip,0.2,krum,0.7499,0.0007,0.7496,,
signflip,0.2,fltrust,0.7678,0.0068,0.7671,,
signflip,0.2,fedtra,0.7488,0.0267,0.7468,,
signflip,0.3,fedavg,0.525,0.0706,0.3428,,
signflip,0.3,median,0.7605,0.0229,0.7595,,
signflip,0.3,trimmed,0.6167,0.0592,0.4747,,
signflip,0.3,krum,0.6418,0.0946,0.5017,,
signflip,0.3,fltrust,0.7709,0.0051,0.7702,,
signflip,0.3,fedtra,0.7588,0.0224,0.7577,,
signflip,0.4,fedavg,0.5749,0.0,0.365,,
signflip,0.4,median,0.7478,0.0286,0.7457,,
signflip,0.4,trimmed,0.5749,0.0,0.365,,
signflip,0.4,krum,0.4732,0.0937,0.3188,,
signflip,0.4,fltrust,0.7691,0.0068,0.7684,,
signflip,0.4,fedtra,0.7431,0.0222,0.7406,,
backdoor,0.0,fedavg,0.7495,0.0002,0.7491,0.0439,0.0109
backdoor,0.0,median,0.7542,0.0062,0.7539,0.0677,0.0277
backdoor,0.0,trimmed,0.7536,0.004,0.7533,0.049,0.0064
backdoor,0.0,krum,0.7499,0.0035,0.7495,0.0591,0.0187
backdoor,0.0,fltrust,0.7681,0.0063,0.7674,0.1395,0.0314
backdoor,0.0,fedtra,0.7568,0.0059,0.7565,0.0823,0.0285
backdoor,0.1,fedavg,0.7496,0.0004,0.7492,0.5225,0.0846
backdoor,0.1,median,0.7554,0.0108,0.7549,0.1469,0.0452
backdoor,0.1,trimmed,0.7514,0.0039,0.751,0.1256,0.0272
backdoor,0.1,krum,0.7485,0.0009,0.7481,0.1623,0.082
backdoor,0.1,fltrust,0.7675,0.0067,0.7668,0.1846,0.0471
backdoor,0.1,fedtra,0.7556,0.0071,0.7551,0.1605,0.0387
backdoor,0.2,fedavg,0.7495,0.0011,0.7491,0.8785,0.1026
backdoor,0.2,median,0.7501,0.0089,0.7494,0.2105,0.0619
backdoor,0.2,trimmed,0.7503,0.0044,0.7498,0.1939,0.0492
backdoor,0.2,krum,0.7464,0.0031,0.7459,0.3684,0.1333
backdoor,0.2,fltrust,0.7673,0.0053,0.7666,0.2265,0.0389
backdoor,0.2,fedtra,0.7493,0.008,0.7485,0.2261,0.0631
backdoor,0.3,fedavg,0.7482,0.0015,0.7478,0.8361,0.2311
backdoor,0.3,median,0.7408,0.0083,0.74,0.2789,0.0789
backdoor,0.3,trimmed,0.7431,0.0051,0.7425,0.4456,0.1916
backdoor,0.3,krum,0.7369,0.0056,0.736,0.81,0.1807
backdoor,0.3,fltrust,0.7688,0.0033,0.7682,0.2439,0.0564
backdoor,0.3,fedtra,0.7434,0.0077,0.7425,0.3094,0.0955
backdoor,0.4,fedavg,0.7496,0.0005,0.7492,1.0,0.0
backdoor,0.4,median,0.7443,0.0026,0.7431,0.6282,0.141
backdoor,0.4,trimmed,0.7436,0.0024,0.743,0.9041,0.1344
backdoor,0.4,krum,0.7424,0.0054,0.7417,0.8723,0.1806
backdoor,0.4,fltrust,0.7686,0.0035,0.768,0.2745,0.0617
backdoor,0.4,fedtra,0.7453,0.0026,0.7439,0.6355,0.1632
